model,seed,level,images,instances,precision,recall,map50,map50_95,log_file
fogaware,2,fog_i07,15370,14268,0.735,0.537,0.562,0.243,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i07.log
fogaware,2,fog_i08,15370,14268,0.646,0.399,0.4,0.165,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i08.log
fogaware,2,fog_i09,15293,14191,0.52,0.255,0.241,0.0948,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed2_fog_i09.log
fogaware,3,clear,15570,14443,0.958,0.898,0.942,0.518,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_clear.log
fogaware,3,fog_i00,15412,14285,0.948,0.855,0.912,0.497,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i00.log
fogaware,3,fog_i01,15370,14268,0.936,0.841,0.897,0.48,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i01.log
fogaware,3,fog_i02,15280,14178,0.932,0.812,0.879,0.459,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i02.log
fogaware,3,fog_i03,15370,14268,0.923,0.786,0.856,0.431,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i03.log
fogaware,3,fog_i04,15370,14268,0.899,0.761,0.826,0.402,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i04.log
fogaware,3,fog_i05,15370,14268,0.87,0.705,0.776,0.362,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i05.log
fogaware,3,fog_i06,15370,14268,0.813,0.642,0.698,0.31,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i06.log
fogaware,3,fog_i07,15370,14268,0.738,0.533,0.561,0.241,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i07.log
fogaware,3,fog_i08,15370,14268,0.632,0.396,0.392,0.162,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i08.log
fogaware,3,fog_i09,15293,14191,0.502,0.246,0.229,0.0915,runs/val/inference_seeds_metrics/logs/seedtest_fogaware_seed3_fog_i09.log
